feature,importance
qty_dot_url,51
qty_hyphen_url,50
qty_underline_url,11
qty_slash_url,253
qty_questionmark_url,0
qty_equal_url,20
qty_at_url,37
qty_and_url,3
qty_exclamation_url,0
qty_space_url,0
qty_tilde_url,0
qty_comma_url,3
qty_plus_url,21
qty_asterisk_url,0
qty_hashtag_url,0
qty_dollar_url,0
qty_percent_url,6
qty_tld_url,78
length_url,412
qty_dot_domain,266
qty_hyphen_domain,35
qty_underline_domain,0
qty_slash_domain,0
qty_questionmark_domain,0
qty_equal_domain,0
qty_at_domain,0
qty_and_domain,0
qty_exclamation_domain,0
qty_space_domain,0
qty_tilde_domain,0
qty_comma_domain,0
qty_plus_domain,0
qty_asterisk_domain,0
qty_hashtag_domain,0
qty_dollar_domain,0
qty_percent_domain,0
qty_vowels_domain,131
domain_length,209
domain_in_ip,17
server_client_domain,0
qty_dot_directory,36
qty_hyphen_directory,147
qty_underline_directory,21
qty_slash_directory,27
qty_questionmark_directory,0
qty_equal_directory,27
qty_at_directory,0
qty_and_directory,0
qty_exclamation_directory,0
qty_space_directory,0
qty_tilde_directory,0
qty_comma_directory,16
qty_plus_directory,0
qty_asterisk_directory,0
qty_hashtag_directory,0
qty_dollar_directory,0
qty_percent_directory,8
directory_length,216
qty_dot_file,20
qty_hyphen_file,26
qty_underline_file,41
qty_slash_file,0
qty_questionmark_file,0
qty_equal_file,0
qty_at_file,0
qty_and_file,0
qty_exclamation_file,0
qty_space_file,0
qty_tilde_file,1
qty_comma_file,2
qty_plus_file,0
qty_asterisk_file,0
qty_hashtag_file,0
qty_dollar_file,0
qty_percent_file,19
file_length,132
qty_dot_params,40
qty_hyphen_params,0
qty_underline_params,4
qty_slash_params,3
qty_questionmark_params,0
qty_equal_params,1
qty_at_params,0
qty_and_params,1
qty_exclamation_params,0
qty_space_params,0
qty_tilde_params,0
qty_comma_params,0
qty_plus_params,0
qty_asterisk_params,0
qty_hashtag_params,0
qty_dollar_params,0
qty_percent_params,1
params_length,50
tld_present_params,8
qty_params,27
email_in_url,0
time_response,384
domain_spf,78
asn_ip,615
time_domain_activation,787
time_domain_expiration,244
qty_ip_resolved,139
qty_nameservers,241
qty_mx_servers,227
ttl_hostname,489
tls_ssl_certificate,126
qty_redirects,145
url_google_index,0
domain_google_index,0
url_shortened,48
